"","group","family","genus","sp","all.mort.prob","all.lower.mort.prob","all.upper.mort.prob","all.95gr","all.sd.gr","all.lower.gr","all.upper.gr","late.mort.prob","late.lower.mort.prob","late.upper.mort.prob","late.95gr","late.sd.gr","late.upper.gr","late.lower.gr","early.mort.prob","early.lower.mort.prob","early.upper.mort.prob","early.95gr","early.sd.gr","early.upper.gr","early.lower.gr"
"1","Gymnosperm","Pinaceae","Abies","Abies balsamea",0.2304,0.2045,0.2574,0.6672,0.0069,0.6556,0.6821,0.2406,0.1903,0.2942,0.6993,0.0085,0.7178,0.6836,0.2565,0.1894,0.3297,0.7865,0.0142,0.8266,0.7738
"2","Angiosperm","Sapindaceae","Acer","Acer negundo",0.1218,0.0851,0.1651,0.8359,0.0366,0.7316,0.8972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Angiosperm","Sapindaceae","Acer","Acer rubrum",0.0466,0.0423,0.0513,0.61,0.0048,0.6043,0.6202,0.038,0.0318,0.045,0.6277,0.0061,0.6412,0.6192,0.0625,0.0466,0.0811,0.7238,0.0161,0.7504,0.6983
"4","Angiosperm","Sapindaceae","Acer","Acer saccharinum",0.064,0.0325,0.106,1.1521,0.0453,1.0708,1.2351,0.0942,0.0397,0.174,0.8868,0.1353,1.3563,0.8281,NA,NA,NA,NA,NA,NA,NA
"5","Angiosperm","Sapindaceae","Acer","Acer saccharum",0.0296,0.0253,0.0343,0.6438,0.0065,0.6307,0.6562,0.0235,0.0179,0.0297,0.6771,0.0082,0.6996,0.6676,0.0328,0.0194,0.0502,0.8359,0.0201,0.8784,0.8003
"6","Angiosperm","Rosaceae","Amelanchier","Amelanchier indet",0.0434,0.0248,0.0676,0.309,0.0143,0.2925,0.3387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Angiosperm","Betulaceae","Betula","Betula alleghaniensis",0.0522,0.0398,0.0664,0.6662,0.0079,0.6494,0.6832,0.0494,0.0322,0.0702,0.7079,0.0108,0.734,0.6877,0.0622,0.0332,0.1019,0.8634,0.0351,0.8638,0.7451
"8","Angiosperm","Betulaceae","Betula","Betula lenta",0.0588,0.044,0.0761,0.542,0.009,0.5254,0.5587,0.0553,0.0368,0.078,0.559,0.0131,0.6097,0.5589,0.1059,0.0292,0.2435,0.6605,0.0507,0.851,0.6274
"9","Angiosperm","Betulaceae","Betula","Betula papyrifera",0.1108,0.0965,0.1265,0.4423,0.0083,0.4214,0.4498,0.1022,0.0802,0.1281,0.4839,0.007,0.4724,0.4429,0.1016,0.0738,0.1358,0.5495,0.0126,0.5759,0.5179
"10","Angiosperm","Juglandaceae","Carya","Carya alba",0.0157,0.0092,0.0238,0.5837,0.0188,0.5587,0.6307,0.0169,0.0058,0.034,0.5846,0.0189,0.635,0.5614,NA,NA,NA,NA,NA,NA,NA
"11","Angiosperm","Juglandaceae","Carya","Carya cordiformis",0.0798,0.0494,0.1177,0.7302,0.0224,0.6852,0.7752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Angiosperm","Juglandaceae","Carya","Carya glabra",0.0283,0.0189,0.04,0.546,0.019,0.5147,0.5784,0.0412,0.021,0.0684,0.5158,0.021,0.5721,0.508,NA,NA,NA,NA,NA,NA,NA
"13","Angiosperm","Juglandaceae","Carya","Carya ovata",0.035,0.0242,0.0479,0.5407,0.0129,0.5159,0.5647,0.0187,0.0087,0.0328,0.5365,0.0176,0.5817,0.5115,0.0605,0.0233,0.1199,0.751,0.047,0.8415,0.6343
"14","Angiosperm","Juglandaceae","Carya","Carya texana",0.021,0.0107,0.0352,0.4494,0.0194,0.4189,0.5115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Angiosperm","Cannabaceae","Celtis","Celtis occidentalis",0.0405,0.0229,0.0636,0.8159,0.0435,0.7002,0.8706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Angiosperm","Fagaceae","Fagus","Fagus grandifolia",0.0928,0.0775,0.1103,0.6629,0.0098,0.647,0.6825,0.0828,0.0626,0.1064,0.6929,0.0114,0.7257,0.6865,0.0979,0.0505,0.1647,0.8351,0.0345,0.9143,0.7863
